Package	LibPath	Version	Priority	Depends	Imports	LinkingTo	Suggests	Enhances	License	License_is_FOSS	License_restricts_use	OS_type	MD5sum	NeedsCompilation	Built
lmom	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.8		R (>= 3.0.0)	stats, graphics				Common Public License Version 1.0					yes	4.1.0
lmtest	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.9-38		R (>= 3.0.0), stats, zoo	graphics		car, strucchange, sandwich, dynlm, stats4, survival, AER		GPL-2 | GPL-3					yes	4.1.0
locfdr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1-8			stats, splines, graphics				GPL-2					no	4.1.0
locfit	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.5-9.4		R (>= 3.5.0)	lattice		interp, gam		GPL (>= 2)					yes	4.1.0
loo	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.4.1		R (>= 3.1.2)	checkmate, matrixStats (>= 0.52), parallel, stats		"bayesplot (>= 1.7.0), brms (>= 2.10.0), ggplot2, graphics,
knitr, rmarkdown, rstan, rstanarm (>= 2.19.0), rstantools,
spdep, testthat (>= 2.1.0)"		GPL (>= 3)					no	4.1.0
lpSolve	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	5.6.15							LGPL-2					yes	4.1.0
lpSolveAPI	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	5.5.2.0-17.7							LGPL-2					yes	4.1.0
lsa	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.73.2		SnowballC			tm		GPL (>= 2)					no	4.1.0
lubridate	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.7.10		methods, R (>= 3.2)	generics, Rcpp (>= 0.12.13)	Rcpp	covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0), rmarkdown	chron, timeDate, tis, zoo	GPL (>= 2)					yes	4.1.0
magic	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.5-9		R (>= 2.10), abind					GPL-2					no	4.1.0
magick	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.7.2			Rcpp (>= 0.12.12), magrittr, curl	Rcpp	"av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski"		MIT + file LICENSE					yes	4.1.0
magrittr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.0.1					covr, knitr, rlang, rmarkdown, testthat		MIT + file LICENSE					yes	4.1.0
mail	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0		R (>= 2.0.0)					GPL (>= 2)						4.1.0
MALDIquant	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.19.3		R (>= 3.2.0), methods	parallel		knitr, testthat (>= 0.8)		GPL (>= 3)					yes	4.1.0
manipulate	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0.1		R (>= 2.11.1)					GPL-2					no	4.1.0
manipulateWidget	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.11.0		R (>= 2.10)	"shiny (>= 1.0.3), miniUI, htmltools, htmlwidgets, knitr,
methods, tools, base64enc, grDevices, codetools, webshot,
shinyjs"		dygraphs, leaflet, plotly, xts, rmarkdown, testthat, covr		GPL (>= 2) | file LICENSE					no	4.1.0
mapdata	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.3.0		R (>= 2.14.0), maps (>= 2.0-7)					GPL-2					yes	4.1.0
mapproj	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.7		R (>= 3.0.0), maps (>= 2.3-0)	stats, graphics				Lucent Public License					yes	4.1.0
maps	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	3.3.0		R (>= 3.0.0)	graphics, utils		"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth"		GPL-2					yes	4.1.0
maptools	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1-1		R (>= 2.10), sp (>= 1.0-11)	"foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices"		"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)"	gpclib	GPL (>= 2)					yes	4.1.0
markdown	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1		R (>= 2.11.1)	utils, xfun, mime (>= 0.3)		knitr, RCurl		GPL-2					yes	4.1.0
mashr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.2.50		R (>= 3.3.0), ashr (>= 2.2-22)	"assertthat, utils, stats, plyr, rmeta, Rcpp (>= 0.12.11),
mvtnorm, abind, softImpute"	Rcpp, RcppArmadillo, RcppGSL (>= 0.3.8)	"MASS, REBayes, corrplot, testthat, kableExtra, knitr,
rmarkdown, profmem, flashr (>= 0.6.7)"		BSD_3_clause + file LICENSE					yes	4.1.0
MASS	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	7.3-54	recommended	R (>= 3.3.0), grDevices, graphics, stats, utils	methods		lattice, nlme, nnet, survival		GPL-2 | GPL-3					yes	4.1.0
Matching	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	4.9-9		R (>= 2.6.0), MASS (>= 7.2-1), graphics, grDevices, stats			parallel, rgenoud (>= 2.12), rbounds		GPL-3					yes	4.1.0
MatchIt	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	4.2.0		R (>= 3.1.0)	backports (>= 1.1.9), Rcpp (>= 1.0.5)	Rcpp, RcppProgress	"optmatch, Matching, rgenoud, nnet, rpart, mgcv, CBPS (>=
0.17), dbarts, randomForest, cobalt (>= 4.2.3), boot, lmtest,
sandwich (>= 2.5-1), survival, RcppProgress (>= 0.4.2), knitr,
rmarkdown"		GPL (>= 2)					yes	4.1.0
mathjaxr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4-0					js		GPL-3					yes	4.1.0
matlab	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0.2		R (>= 2.15)	methods				Artistic-2.0					no	4.1.0
Matrix	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.3-4	recommended	R (>= 3.5.0)	methods, graphics, grid, stats, utils, lattice		expm, MASS	"MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep"	GPL (>= 2) | file LICENCE					yes	4.1.0
Matrix.utils	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.9.8		R (>= 3.0.0), Matrix	grr, methods, stats		testthat		GPL-3					no	4.1.0
matrixcalc	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0-3		R (>= 2.0.1)					GPL (>= 2)						4.1.0
MatrixEQTL	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.3		R (>= 2.12.0), methods, utils, graphics, stats					LGPL-3					no	4.1.0
MatrixModels	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.5-0		R (>= 3.0.1)	stats, methods, Matrix (>= 1.1-5)				GPL (>= 2)					no	4.1.0
matrixStats	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.59.0		R (>= 2.12.0)			base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp		Artistic-2.0					yes	4.1.0
maxLik	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4-8		R (>= 2.4.0), miscTools (>= 0.6-8), methods	sandwich		testthat, MASS, clue, dlm, plot3D		GPL (>= 2)					no	4.1.0
maxlike	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1-8		R (>= 2.10.0), raster			dismo		GPL (>= 3)					no	4.1.0
mblm	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.12.1							GPL (>= 2)					no	4.1.0
mboost	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.9-5		R (>= 3.2.0), methods, stats, parallel, stabs (>= 0.5-0)	"Matrix, survival (>= 3.2-10), splines, lattice, nnls,
quadprog, utils, graphics, grDevices, partykit (>= 1.2-1)"		"TH.data, MASS, fields, BayesX, gbm, mlbench, RColorBrewer,
rpart (>= 4.0-3), randomForest, nnet, testthat (>= 0.10.0),
kangar00"		GPL-2					yes	4.1.0
MCL	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0		R (>= 2.10.0)	expm				GPL (>= 2)					no	4.1.0
mclust	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	5.4.7		R (>= 3.0)	stats, utils, graphics, grDevices		"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS"		GPL (>= 2)					yes	4.1.0
mcmc	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.9-7		R (>= 3.0.2)	stats		xtable, Iso		MIT + file LICENSE					yes	4.1.0
MCMCglmm	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.32		Matrix, coda, ape	corpcor, tensorA, cubature, methods		rgl, combinat, mvtnorm, orthopolynom		GPL (>= 2)					yes	4.1.0
MCMCpack	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.5-0		R (>= 3.6), coda (>= 0.11-3), MASS, stats	graphics, grDevices, lattice, methods, utils, mcmc, quantreg				GPL-3					yes	4.1.0
memoise	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.0.0			rlang (>= 0.4.10), cachem		"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat"		MIT + file LICENSE					no	4.1.0
memuse	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	4.1-0		R (>= 3.0.0)	methods, utils				BSD 2-clause License + file LICENSE					yes	4.1.0
MendelianRandomization	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.5.1		R (>= 3.0.1), methods	"knitr, rmarkdown, plotly (>= 3.6.0), ggplot2 (>= 1.0.1),
robustbase (>= 0.92-6), Matrix (>= 1.2), iterpc (>= 0.3),
quantreg (>= 5.01), rjson, glmnet"				GPL-2 | GPL-3					no	4.1.0
meta	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	4.18-1		R (>= 3.5.0)	metafor (>= 2.1-0), grid, lme4, CompQuadForm, xml2		BiasedUrn		GPL (>= 2)					no	4.1.0
metafor	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.4-0		R (>= 3.5.0), methods, Matrix	stats, utils, graphics, grDevices, nlme		"lme4, numDeriv, minqa, nloptr, dfoptim, ucminf,
optimParallel, CompQuadForm, mvtnorm, BiasedUrn, Epi, survival,
GLMMadaptive, multcomp, gsl, sp, boot, crayon, R.rsp, testthat,
rmarkdown"		GPL (>= 2)					no	4.1.0
MethylToSNP	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.99.0		R (>= 3.3.1), Ckmeans.1d.dp	Ckmeans.1d.dp,		minfi, minfiData, minfiDataEPIC, testthat, knitr, rmarkdown		Artistic-2.0					no	4.1.0
mets	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.8.1		R (>= 3.5), timereg (>= 1.9.4), lava (>= 1.6.6)	"mvtnorm, numDeriv, compiler, Rcpp, splines, survival (>=
2.43-1),"	Rcpp, RcppArmadillo, mvtnorm	"prodlim, cmprsk, testthat (>= 0.11), ucminf, knitr, bookdown,
rmarkdown, ggplot2, cowplot"		GPL (>= 2)					yes	4.1.0
mgcv	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.8-36	recommended	R (>= 3.6.0), nlme (>= 3.1-64)	methods, stats, graphics, Matrix, splines, utils		parallel, survival, MASS		GPL (>= 2)					yes	4.1.0
mi	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0		R (>= 3.0.0), methods, Matrix, stats4	arm (>= 1.4-11)		"betareg, lattice, knitr, MASS, nnet, parallel, sn, survival,
truncnorm, foreign"		GPL (>= 2)					no	4.1.0
microbenchmark	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4-7			graphics, stats		ggplot2, multcomp, RUnit		BSD_2_clause + file LICENSE					yes	4.1.0
mime	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.10			tools				GPL					yes	4.1.0
MIND	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.3.2		R (>= 3.5.0)	"nnls, doParallel, foreach, MCMCglmm, Matrix, edgeR,
matrixcalc, BisqueRNA, parallel, Biobase, methods"				GPL					no	4.1.0
minerva	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.5.8		R (>= 3.3.0)	parallel, Rcpp, stats, graphics	Rcpp, RcppArmadillo	testthat		GPL-3					yes	4.1.0
miniUI	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1.1.1			shiny (>= 0.13), htmltools (>= 0.3), utils				GPL-3					no	4.1.0
minpack.lm	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2-1					MASS		GPL-3					yes	4.1.0
minqa	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.4			Rcpp (>= 0.9.10)	Rcpp			GPL-2					yes	4.1.0
misc3d	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.9-0			grDevices, graphics, stats, tcltk		rgl, tkrplot, MASS		GPL					no	4.1.0
miscTools	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.6-26		R (>= 2.14.0)	digest		Ecdat (>= 0.1-5)		GPL (>= 2)					no	4.1.0
mitools	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.4			DBI, methods, stats		RODBC, foreign		GPL-2					no	4.1.0
mix	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0-10		stats					Unlimited					yes	4.1.0
mixdist	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.5-5		R (>= 1.4.0)	graphics, stats				GPL (>= 2)					no	4.1.0
mixsqp	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.3-43		R (>= 3.3.0)	utils, stats, irlba, Rcpp (>= 0.12.15)	Rcpp, RcppArmadillo	REBayes, Rmosek, testthat, knitr, rmarkdown		MIT + file LICENSE					yes	4.1.0
mlapi	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1.0		methods	R6 (>= 2.2.1), Matrix (>= 1.1)		knitr		MIT + file LICENSE					no	4.1.0
mlbench	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.1-3		R (>= 2.10)			lattice		GPL-2					yes	4.1.0
MLmetrics	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1.1		R (>= 2.10)	stats, utils, ROCR		e1071		GPL-2					no	4.1.0
mlmRev	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0-8		lme4, R (>= 2.10)			lattice		GPL (>= 2)					no	4.1.0
mltools	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.3.5			data.table(>= 1.9.7), Matrix, methods, stats		testthat		MIT + file LICENSE					no	4.1.0
mnormt	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.0.2		R (>= 2.2.0)	tmvnsim (>= 1.0-2)				GPL-2 | GPL-3					yes	4.1.0
modeldata	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1.0		R (>= 2.10)			covr		MIT + file LICENSE					no	4.1.0
ModelMetrics	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.2.2		R (>= 3.2.2)	Rcpp, data.table	Rcpp	testthat		GPL (>= 2)					yes	4.1.0
modelr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1.8		R (>= 3.2)	"broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs"		compiler, covr, ggplot2, testthat		GPL-3					no	4.1.0
modeltools	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.2-23		stats, stats4	methods				GPL-2					no	4.1.0
moments	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.14							GPL (>= 2)					no	4.1.0
mondate	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.10.02		utils, methods, R (>= 3.0.0)			zoo		MPL-2.0 | file LICENSE					no	4.1.0
mr.raps	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.2			stats, graphics, nortest				GPL-3					no	4.1.0
mratios	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4.2		R (>= 2.12.0)	mvtnorm, multcomp, survival, survPresmooth, stats		nlme		GPL-2					no	4.1.0
MRInstruments	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.3.2		R (>= 2.10)			dplyr		CC0					no	4.1.0
MRMix	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1.0							GPL-2					no	4.1.0
MRPRESSO	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0							GPL-3					no	4.1.0
msm	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.6.8			survival,mvtnorm,expm		mstate,minqa,doParallel,foreach,numDeriv,testthat,flexsurv		GPL (>= 2)					yes	4.1.0
multcomp	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4-17		"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)"	sandwich (>= 2.3-0), codetools		"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5)"		GPL-2					no	4.1.0
multcompView	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1-8			grid		multcomp, pgirmess, MASS		GPL					no	4.1.0
multicon	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.6		R (>= 3.0.0), psych, abind, foreach	mvtnorm, sciplot,				GPL-2					no	4.1.0
multicool	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1-11		methods, Rcpp (>= 0.11.2)		Rcpp			GPL-2					yes	4.1.0
multidplyr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1.0		R (>= 3.5.0)	"callr (>= 3.5.1), crayon, dplyr (>= 1.0.0), magrittr, qs (>=
0.18.3), R6, rlang, tibble, vctrs (>= 0.3.6)"		"covr, knitr, lubridate, mgcv, nycflights13, rmarkdown,
testthat (>= 3.0.0), vroom"		MIT + file LICENSE					no	4.1.0
munsell	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.5.0			colorspace, methods		ggplot2, testthat		MIT + file LICENSE					no	4.1.0
mvnormtest	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1-9		stats					GPL						4.1.0
mvtnorm	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1-2		R(>= 3.5.0)	stats, methods				GPL-2					yes	4.1.0
mzR	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.26.0		Rcpp (>= 0.10.1), methods, utils	"Biobase, BiocGenerics (>= 0.13.6), ProtGenerics (>= 1.17.3),
ncdf4"	Rcpp, zlibbioc, Rhdf5lib (>= 1.1.4)	"msdata (>= 0.15.1), RUnit, mzID, BiocStyle (>= 2.5.19),
knitr, XML, rmarkdown"		Artistic-2.0					yes	4.1.0
nabor	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.5.0		R (>= 3.0.2)	Rcpp (>= 0.11.2), methods	Rcpp, RcppEigen (>= 0.3.2.2.0), BH (>= 1.54.0-4)	testthat, RANN		BSD_3_clause + file LICENSE					yes	4.1.0
nanotime	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.3.2			methods, bit64, RcppCCTZ (>= 0.2.9), zoo	Rcpp, RcppCCTZ, RcppDate	tinytest, data.table, xts		GPL (>= 2)					yes	4.1.0
natserv	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0.0		R(>= 3.2.1)	crul (>= 0.7.0), jsonlite, tibble		testthat, knitr, vcr		MIT + file LICENSE					no	4.1.0
NbClust	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	3.0		R (>= 3.1.0)					GPL-2					no	4.1.0
ncbit	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2013.03.29		R (>= 2.10)					GPL (>= 2)					no	4.1.0
ncdf4	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.17							GPL (>= 3)					yes	4.1.0
network	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.16.1		R (>= 2.10), utils	tibble, magrittr		sna, statnet.common, testthat, covr		GPL (>= 2)					yes	4.1.0
networkD3	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.4		R (>= 3.0.0)	htmlwidgets (>= 0.3.2), igraph, magrittr		htmltools (>= 0.2.6), jsonlite,	knitr, shiny	GPL (>= 3)					no	4.1.0
neurobase	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.32.1		oro.nifti (>= 0.11.0), R (>= 3.2.0)	"methods, abind, matrixStats, R.utils, graphics, grDevices,
stats, RNifti"		"testthat, ggplot2, knitr, rmarkdown, dplyr, reshape2, httr,
covr, brainR"		GPL-2					no	4.1.0
neuroim	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.0.6		"R (>= 3.0.0), stringr, hash, methods, stats, grDevices, grid,
utils"	"Matrix, yaImpute, Rcpp, iterators, abind, assertthat, readr,
rgl"	Rcpp	foreach, testthat, knitr		GPL (>= 2)					yes	4.1.0
nleqslv	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	3.3.2							GPL (>= 2)					yes	4.1.0
nlme	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	3.1-152	recommended	R (>= 3.4.0)	graphics, stats, utils, lattice		Hmisc, MASS		GPL (>= 2) | file LICENCE					yes	4.1.0
nloptr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.2.2					testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)		LGPL-3					yes	4.1.0
NLP	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.2-1		R (>= 3.2.0)	utils			udpipe, spacyr, cleanNLP	GPL-3					no	4.1.0
NMOF	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.4-1		R (>= 2.14)	grDevices, graphics, parallel, stats, utils		"MASS, PMwR, RUnit, Rglpk, datetimeutils, quadprog, readxl,
tinytest"		GPL-3					no	4.1.0
nnls	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4							GPL (>= 2)						4.1.0
nor1mix	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.3-0			stats, graphics		cluster		GPL (>= 2)					no	4.1.0
nortest	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0-4			stats				GPL (>= 2)					no	4.1.0
np	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.60-10			boot, cubature, methods, quadprog, quantreg, stats		MASS		GPL					yes	4.1.0
nplplot	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	4.5							GPL (>= 3)					no	4.1.0
numDeriv	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2016.8-1.1		R (>= 2.11.1)					GPL-2					no	4.1.0
nycflights13	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0.2		R (>= 3.2)	tibble		dplyr		CC0					no	4.1.0
OAIHarvester	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.3-2			utils, curl, xml2				GPL-2					no	4.1.0
oddsratio	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.0.1		R (>= 3.0.0)	ggplot2 (>= 3.0.0), mgcv, stats,		knitr, MASS, rmarkdown, testthat		MIT + file LICENSE					no	4.1.0
odeintr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.7.1			Rcpp (>= 0.10.0)	Rcpp, BH	testthat, BH		GPL (>= 2)					yes	4.1.0
ontologyIndex	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.7		R (>= 3.1.0)			knitr, rmarkdown		GPL (>= 2)					no	4.1.0
openair	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.8-3		R (>= 3.2.0),	"grid, rlang, dplyr (>= 1.0), purrr, tidyr, readr, mgcv,
lattice, latticeExtra, lubridate, cluster, mapproj, hexbin,
Rcpp, grDevices, graphics, methods, stats, MASS, utils"	Rcpp	KernSmooth, maps, mapdata, quantreg		GPL (>= 2)					yes	4.1.0
openssl	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4.4			askpass		"testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium"		MIT + file LICENSE					yes	4.1.0
openxlsx	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	4.2.3		R (>= 3.3.0)	grDevices, methods, Rcpp, stats, utils, zip, stringi	Rcpp	knitr, testthat, roxygen2, rmarkdown		MIT + file LICENSE					yes	4.1.0
operator.tools	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.6.3			utils (>= 3.3.2)		operators (>= 0.1.8), magrittr (>= 1.5), testthat (>= 1.0.2)		GPL-2 | file LICENSE					no	4.1.0
operators	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1-8		R (>= 3.1.0)	utils		testthat		MIT + file LICENSE					no	4.1.0
optextras	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2019-12.4			numDeriv, utils				GPL-2					no	4.1.0
optimx	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2020-4.2			numDeriv		"knitr, rmarkdown, setRNG, BB, ucminf, minqa, dfoptim,
lbfgsb3c, lbfgs, subplex"		GPL-2					no	4.1.0
optmatch	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.9-14		R (>= 2.15.1), survival	Rcpp, RItools, digest, stats, methods, graphics, survey	Rcpp	"boot, biglm, testthat (>= 0.11.0), roxygen2, brglm, arm,
knitr, rmarkdown, markdown, pander, xtable"	CBPS, haven	file LICENSE					yes	4.1.0
optparse	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.6.6		R (>= 2.9.0)	methods, getopt (>= 1.20.2)		covr, knitr (>= 1.15.19), stringr, testthat		GPL (>= 2)					no	4.1.0
ordinal	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2019.12-10		R (>= 2.13.0), stats, methods	ucminf, MASS, Matrix, numDeriv		lme4, nnet, xtable, testthat (>= 0.8), tools		GPL (>= 2)					yes	4.1.0
oro.nifti	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.11.0		R (>= 2.14.0)	"stats, bitops, splines, graphics, grDevices, methods, utils,
abind, RNifti (>= 0.9.0)"		XML, testthat, covr, knitr, rmarkdown, rticles	fmri, oro.dicom	BSD_3_clause + file LICENSE					no	4.1.0
orthopolynom	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0-5		R (>= 2.0.1), polynom					GPL (>= 2)						4.1.0
osfr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.2.8		R (>= 3.1.0)	"crul (>= 0.7.4), jsonlite, stringi, purrr, tibble, rlang, fs
(>= 1.3.0), memoise, httr"		"dplyr, logger, rprojroot, testthat, knitr, rmarkdown, lintr
(>= 2.0), covr, spelling"		MIT + file LICENSE					no	4.1.0
oz	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0-21			graphics				GPL-2					no	4.1.0
pack	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1-1							GPL-3						4.1.0
